Sort algorithm time record(Millisecond):
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
15500,0.499809,0.577939,0.881869,0.627532,0.731705,0.912899,1.20436,1.20104,41.3049
15600,0.506181,0.586804,0.886579,0.641384,0.685713,0.917609,1.22154,1.19716,39.7209
15700,0.511168,0.585973,0.894613,0.646371,0.694856,0.907635,1.24814,1.22071,39.9711
15800,0.511168,0.590129,0.927029,0.645817,0.708155,0.990752,1.2426,1.22099,40.9888
15900,0.518095,0.594008,0.911791,0.651635,0.74528,0.951133,1.24869,1.21905,44.0502
16000,0.521142,0.594285,0.905696,0.66909,0.802631,1.02483,1.2534,1.23401,41.7551
16100,0.519757,0.597333,0.917332,0.665211,0.989921,0.931185,1.27584,1.25091,42.1668
16200,0.525575,0.599549,0.928414,0.665211,0.758025,0.928691,1.28554,1.2606,42.6411
16300,0.524744,0.60509,0.925367,0.669644,0.800692,0.93257,1.27917,1.27224,43.6549
16400,0.532501,0.603428,0.933955,0.674354,1.14646,0.919271,1.28637,1.2933,43.9034
16500,0.534164,0.613125,0.960276,0.676848,0.976345,0.935341,1.3041,1.28665,44.2331
16600,0.540259,0.618943,0.939219,0.689592,0.742787,0.973574,1.30576,1.29413,44.8246
16700,0.543307,0.62393,0.95418,0.689869,0.774648,1.32045,1.30244,1.32682,45.3671
16800,0.547185,0.627532,0.957505,0.696519,1.193,1.07498,1.33873,1.33402,45.9868
16900,0.551064,0.63141,0.971635,0.699566,0.777696,1.14036,1.33873,1.30881,46.5022
17000,0.552172,0.636674,0.955289,0.701228,0.772986,0.969142,1.34899,1.32682,47.0566
17100,0.558268,0.64083,0.966925,0.720899,0.782683,1.14009,1.33707,1.34123,47.7697
17200,0.558822,0.64748,0.994631,0.707324,0.827566,2.75726,1.37226,1.39913,48.1806
17300,0.559376,0.653298,0.976622,0.731982,0.817592,0.981332,1.37697,1.34538,48.7846
17400,0.573229,0.675739,1.26144,0.721731,0.818977,1.01596,1.37808,1.36644,49.3611
17500,0.572397,0.671306,0.996847,0.738354,0.81593,1.01984,1.38085,1.39054,52.9343
17600,0.570735,0.66438,1.00516,0.731428,0.812882,1.07138,1.4019,1.37891
